tempo_s,bpm
0.00,65.92
1.00,65.92
2.00,65.92
3.00,65.92
4.00,65.92
5.00,65.92
6.00,65.92
7.00,65.92
8.00,65.92
9.00,73.24
10.00,73.24
11.00,73.24
12.00,73.24
13.00,73.24
14.00,73.24
15.00,73.24
16.00,73.24
17.00,73.24
18.00,73.24
19.00,73.24
20.00,73.24
21.00,73.24
22.00,73.24
28.00,73.24
29.00,73.24
39.00,65.92
40.00,65.92
41.00,65.92
42.00,65.92
43.00,65.92
44.00,65.92
45.00,65.92
46.00,65.92
47.00,65.92
48.00,65.92
49.00,65.92
50.00,65.92
51.00,73.24
52.00,73.24
53.00,73.24
54.00,73.24
55.00,73.24
56.00,73.24
57.00,73.24
58.00,73.24
59.00,73.24
60.00,80.57
61.00,80.57
62.00,80.57
63.00,80.57
64.00,73.24
65.00,73.24
66.00,73.24
67.00,73.24
68.00,73.24
69.00,73.24
70.00,73.24
71.00,73.24
72.00,73.24
73.00,73.24
74.00,73.24
75.00,73.24
76.00,73.24
77.00,73.24
78.00,73.24
79.00,73.24
80.00,73.24
81.00,73.24
82.00,73.24
83.00,73.24
84.00,73.24
85.00,73.24
86.00,73.24
87.00,73.24
88.00,73.24
89.00,73.24
90.00,73.24
91.00,73.24
92.00,73.24
93.00,73.24
94.00,73.24
95.00,73.24
96.00,73.24
97.00,73.24
98.00,73.24
99.00,73.24
100.00,73.24
104.00,73.24
105.00,73.24
106.00,73.24
107.00,73.24
108.00,73.24
109.00,73.24
110.00,73.24
111.00,73.24
112.00,73.24
113.00,73.24
114.00,73.24
115.00,73.24
116.00,73.24
117.00,73.24
118.00,73.24
119.00,73.24
120.00,73.24
121.00,73.24
122.00,80.57
123.00,80.57
124.00,80.57
125.00,80.57
126.00,73.24
127.00,80.57
128.00,80.57
129.00,80.57
130.00,80.57
131.00,80.57
132.00,80.57
133.00,80.57
134.00,80.57
135.00,73.24
136.00,65.92
137.00,65.92
138.00,65.92
139.00,65.92
140.00,65.92
141.00,65.92
142.00,73.24
143.00,73.24
144.00,73.24
145.00,73.24
146.00,73.24
147.00,73.24
148.00,73.24
149.00,65.92
150.00,65.92
151.00,65.92
152.00,65.92
153.00,73.24
154.00,73.24
155.00,73.24
156.00,73.24
157.00,73.24
158.00,73.24
159.00,73.24
160.00,73.24
161.00,73.24
162.00,73.24
163.00,73.24
164.00,73.24
165.00,73.24
166.00,73.24
167.00,73.24
168.00,73.24
169.00,73.24
170.00,65.92
171.00,65.92
172.00,65.92
173.00,65.92
176.00,65.92
177.00,65.92
178.00,73.24
179.00,73.24
180.00,73.24
181.00,73.24
182.00,73.24
183.00,73.24
184.00,73.24
185.00,80.57
186.00,80.57
187.00,80.57
188.00,80.57
189.00,80.57
190.00,80.57
191.00,80.57
192.00,80.57
193.00,80.57
194.00,80.57
195.00,80.57
196.00,73.24
197.00,73.24
198.00,73.24
199.00,65.92
200.00,65.92
201.00,65.92
202.00,73.24
203.00,73.24
204.00,73.24
205.00,73.24
206.00,73.24
207.00,73.24
208.00,73.24
209.00,73.24
210.00,65.92
211.00,65.92
212.00,65.92
213.00,65.92
214.00,73.24
215.00,73.24
216.00,73.24
217.00,73.24
218.00,73.24
219.00,73.24
220.00,73.24
221.00,65.92
222.00,65.92
223.00,65.92
224.00,65.92
225.00,65.92
226.00,65.92
227.00,65.92
228.00,73.24
229.00,73.24
230.00,73.24
231.00,73.24
232.00,73.24
233.00,65.92
234.00,65.92
235.00,65.92
236.00,65.92
237.00,65.92
238.00,65.92
239.00,73.24
240.00,73.24
241.00,73.24
242.00,73.24
243.00,73.24
244.00,65.92
245.00,65.92
246.00,65.92
247.00,65.92
248.00,65.92
249.00,65.92
250.00,65.92
251.00,65.92
252.00,65.92
253.00,65.92
254.00,65.92
255.00,65.92
256.00,65.92
257.00,65.92
258.00,65.92
259.00,65.92
260.00,65.92
261.00,73.24
262.00,73.24
263.00,73.24
264.00,73.24
265.00,73.24
266.00,73.24
267.00,73.24
268.00,73.24
269.00,73.24
270.00,73.24
271.00,73.24
272.00,73.24
273.00,73.24
274.00,73.24
275.00,73.24
276.00,73.24
277.00,73.24
278.00,73.24
279.00,73.24
280.00,73.24
281.00,73.24
282.00,73.24
283.00,73.24
286.00,73.24
287.00,73.24
288.00,73.24
291.00,65.92
292.00,73.24
293.00,73.24
294.00,73.24
295.00,73.24
296.00,73.24
297.00,73.24
298.00,73.24
299.00,73.24
301.00,73.24
302.00,73.24
303.00,73.24
304.00,73.24
305.00,73.24
306.00,73.24
307.00,73.24
308.00,73.24
309.00,73.24
310.00,73.24
311.00,73.24
312.00,73.24
313.00,73.24
314.00,73.24
318.00,73.24
319.00,73.24
320.00,65.92
321.00,65.92
322.00,65.92
323.00,73.24
324.00,73.24
325.00,73.24
326.00,73.24
327.00,58.59
328.00,58.59
329.00,65.92
330.00,65.92
331.00,73.24
332.00,73.24
333.00,73.24
334.00,73.24
335.00,73.24
336.00,73.24
337.00,73.24
338.00,73.24
344.00,73.24
345.00,73.24
346.00,73.24
349.00,73.24
350.00,73.24
351.00,73.24
352.00,73.24
353.00,73.24
354.00,73.24
355.00,73.24
356.00,73.24
357.00,73.24
358.00,73.24
361.00,73.24
362.00,73.24
363.00,73.24
364.00,73.24
365.00,73.24
366.00,73.24
367.00,73.24
368.00,73.24
371.00,73.24
372.00,73.24
373.00,73.24
374.00,73.24
375.00,73.24
376.00,73.24
377.00,73.24
378.00,73.24
379.00,73.24
382.00,73.24
383.00,73.24
384.00,73.24
385.00,73.24
386.00,73.24
387.00,73.24
388.00,73.24
389.00,73.24
390.00,73.24
391.00,73.24
392.00,73.24
393.00,73.24
394.00,73.24
395.00,73.24
396.00,73.24
397.00,73.24
398.00,73.24
399.00,73.24
400.00,73.24
401.00,73.24
402.00,73.24
403.00,73.24
404.00,73.24
405.00,73.24
406.00,73.24
407.00,73.24
408.00,73.24
409.00,73.24
410.00,73.24
411.00,73.24
412.00,73.24
413.00,73.24
414.00,73.24
415.00,73.24
416.00,73.24
417.00,73.24
418.00,73.24
419.00,73.24
424.00,73.24
425.00,73.24
426.00,73.24
427.00,73.24
428.00,73.24
429.00,73.24
430.00,73.24
431.00,73.24
432.00,73.24
433.00,73.24
437.00,73.24
438.00,73.24
439.00,73.24
440.00,65.92
441.00,65.92
442.00,73.24
443.00,73.24
444.00,73.24
445.00,73.24
448.00,73.24
449.00,73.24
450.00,73.24
451.00,73.24
452.00,73.24
453.00,73.24
454.00,73.24
