tempo_s,bpm
0.00,87.89
1.00,87.89
2.00,95.21
7.00,95.21
8.00,102.54
9.00,102.54
10.00,102.54
11.00,102.54
12.00,102.54
13.00,95.21
14.00,95.21
15.00,95.21
16.00,95.21
17.00,95.21
18.00,95.21
19.00,102.54
20.00,102.54
21.00,102.54
22.00,102.54
23.00,102.54
27.00,95.21
28.00,95.21
29.00,95.21
30.00,95.21
31.00,95.21
32.00,102.54
33.00,102.54
34.00,102.54
35.00,102.54
36.00,95.21
37.00,95.21
38.00,95.21
39.00,95.21
40.00,95.21
41.00,102.54
42.00,102.54
43.00,102.54
44.00,102.54
45.00,95.21
46.00,95.21
47.00,95.21
48.00,95.21
49.00,95.21
50.00,95.21
51.00,95.21
52.00,95.21
53.00,95.21
54.00,95.21
55.00,95.21
56.00,95.21
57.00,95.21
58.00,95.21
69.00,87.89
70.00,87.89
71.00,95.21
72.00,95.21
73.00,95.21
75.00,102.54
76.00,102.54
77.00,102.54
78.00,102.54
79.00,102.54
80.00,102.54
81.00,95.21
82.00,87.89
83.00,87.89
84.00,87.89
85.00,87.89
86.00,87.89
87.00,87.89
88.00,87.89
89.00,87.89
90.00,95.21
91.00,95.21
92.00,95.21
93.00,95.21
94.00,95.21
95.00,95.21
96.00,87.89
97.00,87.89
98.00,87.89
99.00,87.89
100.00,87.89
102.00,95.21
103.00,95.21
104.00,95.21
105.00,95.21
106.00,95.21
107.00,95.21
108.00,95.21
109.00,95.21
110.00,95.21
111.00,95.21
112.00,95.21
113.00,95.21
114.00,95.21
115.00,102.54
116.00,95.21
117.00,95.21
118.00,95.21
119.00,87.89
120.00,87.89
121.00,87.89
122.00,87.89
123.00,87.89
124.00,87.89
125.00,95.21
126.00,95.21
127.00,102.54
128.00,102.54
129.00,102.54
130.00,102.54
131.00,95.21
132.00,95.21
133.00,87.89
134.00,87.89
135.00,87.89
136.00,87.89
137.00,95.21
138.00,95.21
139.00,95.21
140.00,95.21
141.00,95.21
142.00,102.54
143.00,102.54
144.00,95.21
145.00,95.21
146.00,95.21
147.00,95.21
148.00,95.21
149.00,95.21
150.00,95.21
151.00,95.21
152.00,95.21
153.00,95.21
154.00,95.21
155.00,95.21
156.00,95.21
157.00,95.21
158.00,95.21
159.00,95.21
160.00,95.21
161.00,95.21
162.00,102.54
163.00,102.54
164.00,102.54
165.00,102.54
166.00,102.54
167.00,102.54
168.00,95.21
169.00,95.21
170.00,95.21
171.00,95.21
172.00,102.54
173.00,102.54
174.00,102.54
175.00,102.54
176.00,95.21
177.00,95.21
178.00,95.21
179.00,95.21
180.00,95.21
181.00,95.21
182.00,95.21
183.00,95.21
184.00,95.21
185.00,102.54
186.00,102.54
187.00,102.54
188.00,95.21
189.00,95.21
190.00,95.21
191.00,87.89
192.00,87.89
193.00,87.89
194.00,95.21
195.00,95.21
196.00,95.21
197.00,95.21
198.00,95.21
199.00,95.21
200.00,102.54
201.00,102.54
202.00,102.54
203.00,102.54
204.00,102.54
205.00,102.54
206.00,102.54
207.00,102.54
208.00,95.21
209.00,95.21
210.00,95.21
211.00,95.21
212.00,95.21
213.00,95.21
214.00,87.89
215.00,87.89
216.00,87.89
217.00,87.89
218.00,87.89
220.00,87.89
221.00,95.21
222.00,95.21
223.00,95.21
224.00,95.21
225.00,95.21
226.00,95.21
227.00,95.21
228.00,95.21
229.00,95.21
230.00,95.21
231.00,95.21
232.00,95.21
233.00,95.21
234.00,95.21
235.00,95.21
236.00,95.21
237.00,87.89
238.00,87.89
239.00,87.89
240.00,87.89
241.00,87.89
242.00,95.21
243.00,95.21
244.00,95.21
245.00,102.54
246.00,102.54
247.00,95.21
248.00,95.21
249.00,95.21
250.00,95.21
251.00,87.89
252.00,87.89
253.00,87.89
254.00,95.21
255.00,95.21
256.00,95.21
257.00,102.54
258.00,102.54
259.00,95.21
260.00,95.21
261.00,95.21
262.00,87.89
263.00,87.89
264.00,95.21
265.00,95.21
266.00,95.21
267.00,102.54
268.00,102.54
269.00,102.54
270.00,95.21
271.00,95.21
272.00,87.89
273.00,87.89
274.00,95.21
275.00,95.21
276.00,95.21
277.00,102.54
278.00,102.54
279.00,102.54
280.00,95.21
281.00,95.21
283.00,102.54
284.00,102.54
285.00,102.54
286.00,95.21
287.00,95.21
288.00,95.21
289.00,95.21
290.00,95.21
291.00,95.21
292.00,95.21
293.00,95.21
297.00,95.21
298.00,95.21
299.00,95.21
300.00,95.21
301.00,95.21
303.00,87.89
304.00,87.89
305.00,95.21
306.00,95.21
307.00,95.21
308.00,95.21
309.00,95.21
312.00,87.89
313.00,87.89
314.00,87.89
315.00,95.21
316.00,95.21
317.00,95.21
318.00,95.21
319.00,95.21
320.00,102.54
321.00,102.54
322.00,102.54
325.00,95.21
326.00,95.21
327.00,102.54
328.00,102.54
329.00,102.54
330.00,102.54
331.00,102.54
332.00,95.21
333.00,95.21
334.00,87.89
335.00,87.89
336.00,87.89
337.00,87.89
338.00,95.21
339.00,95.21
340.00,95.21
341.00,95.21
345.00,95.21
346.00,95.21
347.00,95.21
348.00,95.21
349.00,95.21
350.00,95.21
351.00,95.21
352.00,95.21
353.00,95.21
354.00,95.21
355.00,95.21
356.00,95.21
357.00,95.21
358.00,95.21
359.00,95.21
360.00,95.21
361.00,95.21
362.00,95.21
363.00,95.21
364.00,102.54
365.00,102.54
366.00,95.21
367.00,95.21
368.00,95.21
369.00,95.21
370.00,95.21
372.00,95.21
375.00,95.21
376.00,95.21
377.00,95.21
378.00,95.21
379.00,95.21
380.00,95.21
381.00,95.21
382.00,95.21
383.00,95.21
384.00,95.21
385.00,95.21
386.00,95.21
387.00,102.54
388.00,102.54
389.00,102.54
390.00,95.21
391.00,95.21
392.00,95.21
393.00,95.21
394.00,95.21
395.00,95.21
396.00,95.21
397.00,102.54
398.00,102.54
399.00,102.54
400.00,102.54
401.00,102.54
402.00,102.54
403.00,102.54
404.00,102.54
405.00,102.54
406.00,102.54
407.00,95.21
408.00,95.21
409.00,95.21
410.00,95.21
411.00,95.21
412.00,95.21
413.00,95.21
414.00,95.21
415.00,95.21
416.00,95.21
417.00,102.54
418.00,102.54
419.00,102.54
420.00,102.54
421.00,102.54
422.00,102.54
423.00,102.54
424.00,102.54
425.00,102.54
426.00,102.54
427.00,102.54
428.00,102.54
429.00,102.54
430.00,102.54
431.00,102.54
432.00,102.54
433.00,102.54
434.00,102.54
435.00,102.54
436.00,95.21
437.00,95.21
438.00,95.21
439.00,95.21
440.00,102.54
441.00,102.54
442.00,95.21
443.00,95.21
444.00,95.21
445.00,95.21
446.00,95.21
447.00,95.21
448.00,102.54
449.00,102.54
450.00,102.54
451.00,102.54
452.00,102.54
453.00,102.54
454.00,102.54
455.00,102.54
456.00,102.54
457.00,102.54
458.00,95.21
459.00,95.21
460.00,95.21
461.00,95.21
462.00,95.21
463.00,95.21
464.00,95.21
465.00,95.21
466.00,95.21
467.00,95.21
468.00,95.21
469.00,95.21
470.00,87.89
471.00,95.21
472.00,95.21
473.00,95.21
474.00,95.21
475.00,95.21
476.00,95.21
477.00,95.21
