tempo_s,bpm
0.00,73.24
1.00,73.24
2.00,73.24
3.00,73.24
4.00,80.57
5.00,80.57
6.00,73.24
7.00,65.92
8.00,65.92
9.00,65.92
10.00,65.92
11.00,65.92
12.00,65.92
13.00,65.92
14.00,65.92
15.00,65.92
16.00,65.92
17.00,73.24
18.00,80.57
19.00,87.89
20.00,65.92
21.00,65.92
22.00,65.92
23.00,65.92
24.00,73.24
27.00,73.24
28.00,73.24
29.00,73.24
33.00,80.57
34.00,87.89
35.00,87.89
36.00,87.89
39.00,73.24
40.00,73.24
41.00,73.24
42.00,80.57
43.00,80.57
44.00,80.57
45.00,80.57
46.00,80.57
47.00,73.24
48.00,73.24
49.00,73.24
50.00,73.24
51.00,73.24
52.00,73.24
53.00,73.24
54.00,73.24
55.00,73.24
56.00,73.24
57.00,73.24
62.00,73.24
63.00,73.24
64.00,73.24
65.00,73.24
66.00,73.24
67.00,73.24
68.00,73.24
71.00,73.24
72.00,73.24
73.00,73.24
74.00,73.24
77.00,80.57
80.00,95.21
81.00,87.89
82.00,80.57
83.00,80.57
84.00,65.92
85.00,80.57
86.00,87.89
87.00,87.89
88.00,87.89
89.00,87.89
90.00,87.89
91.00,95.21
92.00,95.21
93.00,87.89
94.00,80.57
95.00,80.57
96.00,80.57
99.00,87.89
100.00,87.89
101.00,87.89
104.00,73.24
105.00,73.24
106.00,73.24
110.00,73.24
111.00,73.24
112.00,73.24
114.00,73.24
118.00,51.27
119.00,51.27
120.00,51.27
122.00,102.54
123.00,58.59
124.00,58.59
125.00,58.59
126.00,95.21
127.00,95.21
128.00,95.21
129.00,95.21
130.00,95.21
131.00,73.24
134.00,80.57
135.00,87.89
136.00,95.21
137.00,87.89
138.00,87.89
139.00,73.24
140.00,73.24
141.00,73.24
142.00,73.24
143.00,80.57
144.00,87.89
145.00,87.89
146.00,95.21
149.00,87.89
150.00,80.57
151.00,80.57
152.00,73.24
153.00,80.57
154.00,80.57
155.00,87.89
156.00,87.89
157.00,87.89
158.00,95.21
159.00,95.21
160.00,87.89
161.00,87.89
162.00,87.89
163.00,87.89
164.00,87.89
165.00,80.57
166.00,80.57
167.00,80.57
169.00,87.89
170.00,87.89
174.00,95.21
175.00,95.21
176.00,95.21
177.00,95.21
179.00,87.89
180.00,80.57
181.00,80.57
182.00,80.57
183.00,80.57
184.00,87.89
