tempo_s,bpm
0.00,95.21
1.00,95.21
2.00,95.21
3.00,95.21
4.00,95.21
5.00,95.21
6.00,95.21
7.00,95.21
8.00,95.21
9.00,95.21
10.00,95.21
11.00,95.21
12.00,95.21
13.00,95.21
14.00,95.21
15.00,95.21
16.00,95.21
17.00,95.21
18.00,95.21
19.00,95.21
20.00,95.21
21.00,95.21
22.00,95.21
23.00,95.21
24.00,95.21
25.00,95.21
26.00,95.21
27.00,95.21
28.00,95.21
29.00,95.21
30.00,95.21
31.00,95.21
32.00,95.21
33.00,87.89
34.00,87.89
35.00,87.89
36.00,87.89
37.00,87.89
38.00,87.89
39.00,87.89
40.00,87.89
41.00,95.21
42.00,95.21
43.00,95.21
44.00,95.21
45.00,87.89
46.00,87.89
47.00,87.89
48.00,87.89
49.00,95.21
50.00,95.21
51.00,95.21
52.00,95.21
53.00,95.21
54.00,87.89
55.00,87.89
56.00,87.89
57.00,87.89
58.00,95.21
59.00,95.21
60.00,95.21
61.00,95.21
62.00,95.21
63.00,95.21
64.00,95.21
65.00,95.21
66.00,95.21
67.00,95.21
68.00,95.21
69.00,95.21
70.00,95.21
71.00,95.21
72.00,87.89
73.00,87.89
74.00,87.89
75.00,87.89
76.00,87.89
77.00,87.89
78.00,87.89
79.00,95.21
80.00,95.21
81.00,87.89
82.00,87.89
83.00,87.89
84.00,87.89
85.00,87.89
86.00,87.89
87.00,87.89
88.00,87.89
89.00,87.89
90.00,87.89
91.00,87.89
92.00,87.89
93.00,87.89
94.00,87.89
95.00,87.89
96.00,87.89
97.00,87.89
98.00,87.89
99.00,87.89
100.00,87.89
101.00,95.21
102.00,95.21
103.00,95.21
104.00,95.21
105.00,95.21
106.00,95.21
107.00,95.21
108.00,95.21
109.00,95.21
110.00,95.21
111.00,95.21
112.00,95.21
113.00,95.21
114.00,95.21
115.00,95.21
116.00,95.21
117.00,95.21
118.00,95.21
119.00,95.21
120.00,95.21
121.00,95.21
122.00,95.21
123.00,95.21
124.00,95.21
125.00,102.54
126.00,95.21
127.00,95.21
128.00,95.21
129.00,95.21
130.00,95.21
131.00,95.21
132.00,95.21
133.00,95.21
134.00,95.21
135.00,95.21
136.00,95.21
137.00,95.21
138.00,95.21
139.00,95.21
140.00,95.21
141.00,95.21
142.00,95.21
143.00,95.21
144.00,95.21
145.00,95.21
146.00,95.21
147.00,95.21
148.00,95.21
149.00,95.21
150.00,95.21
151.00,87.89
152.00,87.89
153.00,87.89
154.00,87.89
155.00,95.21
156.00,95.21
157.00,95.21
158.00,95.21
159.00,95.21
160.00,87.89
161.00,87.89
162.00,87.89
163.00,95.21
164.00,95.21
165.00,102.54
166.00,102.54
167.00,87.89
168.00,95.21
169.00,95.21
170.00,87.89
171.00,87.89
172.00,87.89
173.00,87.89
174.00,87.89
175.00,87.89
176.00,95.21
177.00,95.21
178.00,95.21
179.00,95.21
180.00,95.21
181.00,95.21
182.00,95.21
183.00,87.89
184.00,87.89
185.00,87.89
186.00,87.89
187.00,87.89
188.00,95.21
189.00,95.21
190.00,95.21
191.00,95.21
192.00,95.21
193.00,95.21
194.00,87.89
195.00,87.89
196.00,95.21
197.00,95.21
198.00,95.21
199.00,95.21
200.00,102.54
201.00,102.54
202.00,102.54
203.00,95.21
204.00,95.21
205.00,95.21
206.00,95.21
207.00,87.89
208.00,87.89
209.00,87.89
210.00,87.89
211.00,87.89
212.00,87.89
213.00,87.89
214.00,87.89
215.00,87.89
216.00,87.89
217.00,95.21
218.00,95.21
219.00,95.21
220.00,95.21
221.00,95.21
222.00,95.21
223.00,87.89
224.00,87.89
225.00,87.89
226.00,87.89
227.00,87.89
228.00,87.89
229.00,95.21
230.00,95.21
231.00,95.21
232.00,87.89
233.00,87.89
234.00,87.89
235.00,87.89
236.00,87.89
237.00,87.89
238.00,87.89
239.00,95.21
240.00,95.21
241.00,95.21
242.00,95.21
243.00,87.89
244.00,87.89
245.00,87.89
246.00,87.89
247.00,87.89
248.00,95.21
249.00,95.21
250.00,95.21
251.00,95.21
252.00,95.21
253.00,95.21
254.00,95.21
255.00,87.89
256.00,87.89
257.00,87.89
258.00,80.57
259.00,80.57
260.00,87.89
261.00,87.89
262.00,95.21
263.00,95.21
264.00,95.21
265.00,95.21
266.00,95.21
267.00,102.54
268.00,87.89
269.00,87.89
270.00,87.89
271.00,87.89
272.00,87.89
273.00,87.89
274.00,95.21
275.00,95.21
276.00,95.21
277.00,95.21
278.00,87.89
279.00,87.89
280.00,87.89
281.00,87.89
282.00,87.89
283.00,87.89
284.00,87.89
285.00,87.89
286.00,87.89
287.00,87.89
288.00,87.89
289.00,87.89
290.00,87.89
291.00,87.89
292.00,87.89
293.00,87.89
294.00,87.89
295.00,87.89
296.00,87.89
297.00,95.21
298.00,95.21
299.00,95.21
300.00,95.21
301.00,95.21
302.00,95.21
303.00,95.21
304.00,95.21
305.00,95.21
306.00,95.21
307.00,95.21
308.00,95.21
309.00,95.21
310.00,95.21
311.00,95.21
312.00,95.21
313.00,95.21
314.00,95.21
315.00,95.21
316.00,95.21
317.00,95.21
318.00,95.21
319.00,95.21
320.00,95.21
321.00,95.21
322.00,95.21
323.00,95.21
324.00,95.21
325.00,95.21
326.00,95.21
327.00,95.21
328.00,95.21
329.00,95.21
330.00,95.21
331.00,95.21
332.00,95.21
333.00,95.21
334.00,95.21
335.00,95.21
336.00,95.21
337.00,95.21
338.00,58.59
339.00,102.54
340.00,58.59
341.00,95.21
342.00,95.21
343.00,95.21
344.00,95.21
345.00,95.21
346.00,95.21
347.00,95.21
348.00,95.21
349.00,95.21
350.00,95.21
351.00,95.21
352.00,95.21
353.00,95.21
354.00,95.21
355.00,95.21
356.00,95.21
357.00,95.21
358.00,95.21
359.00,95.21
360.00,95.21
361.00,95.21
362.00,95.21
363.00,95.21
364.00,95.21
365.00,95.21
366.00,95.21
367.00,95.21
368.00,95.21
369.00,95.21
370.00,95.21
371.00,87.89
372.00,87.89
373.00,87.89
374.00,95.21
375.00,95.21
376.00,95.21
377.00,95.21
378.00,95.21
379.00,95.21
380.00,95.21
381.00,95.21
382.00,95.21
383.00,95.21
384.00,95.21
385.00,95.21
386.00,95.21
387.00,95.21
388.00,95.21
389.00,95.21
390.00,95.21
391.00,95.21
392.00,95.21
393.00,95.21
394.00,95.21
395.00,95.21
396.00,95.21
397.00,95.21
398.00,95.21
399.00,95.21
400.00,95.21
401.00,95.21
402.00,95.21
403.00,95.21
404.00,95.21
405.00,95.21
406.00,95.21
407.00,95.21
408.00,95.21
409.00,58.59
410.00,87.89
411.00,87.89
412.00,58.59
413.00,95.21
414.00,95.21
415.00,95.21
416.00,102.54
417.00,102.54
418.00,58.59
419.00,58.59
420.00,58.59
421.00,58.59
422.00,58.59
423.00,58.59
424.00,58.59
425.00,58.59
426.00,58.59
427.00,58.59
428.00,58.59
429.00,58.59
430.00,58.59
431.00,58.59
432.00,58.59
433.00,95.21
434.00,95.21
435.00,95.21
436.00,95.21
437.00,95.21
438.00,95.21
439.00,58.59
440.00,58.59
441.00,58.59
442.00,58.59
443.00,58.59
444.00,58.59
445.00,58.59
446.00,58.59
447.00,58.59
448.00,58.59
449.00,58.59
450.00,58.59
451.00,58.59
452.00,95.21
453.00,95.21
454.00,95.21
455.00,95.21
456.00,95.21
457.00,95.21
458.00,95.21
459.00,95.21
460.00,95.21
461.00,95.21
462.00,95.21
463.00,95.21
464.00,95.21
465.00,95.21
466.00,95.21
467.00,95.21
468.00,95.21
469.00,58.59
470.00,58.59
471.00,58.59
472.00,58.59
473.00,95.21
474.00,95.21
475.00,95.21
476.00,95.21
477.00,95.21
478.00,95.21
479.00,95.21
480.00,58.59
481.00,58.59
482.00,95.21
483.00,58.59
484.00,58.59
485.00,95.21
486.00,58.59
487.00,58.59
488.00,95.21
489.00,95.21
490.00,95.21
491.00,95.21
492.00,95.21
493.00,95.21
494.00,95.21
495.00,58.59
496.00,58.59
497.00,102.54
498.00,102.54
499.00,102.54
500.00,102.54
501.00,102.54
502.00,102.54
503.00,102.54
504.00,58.59
505.00,58.59
506.00,58.59
507.00,58.59
508.00,58.59
509.00,58.59
510.00,58.59
511.00,58.59
512.00,58.59
513.00,58.59
514.00,58.59
515.00,58.59
516.00,58.59
517.00,58.59
518.00,102.54
519.00,102.54
520.00,102.54
521.00,58.59
522.00,58.59
523.00,58.59
524.00,95.21
525.00,58.59
526.00,58.59
527.00,58.59
528.00,58.59
529.00,58.59
530.00,58.59
531.00,58.59
532.00,58.59
533.00,58.59
534.00,58.59
535.00,58.59
536.00,58.59
537.00,58.59
538.00,58.59
539.00,58.59
540.00,95.21
541.00,95.21
542.00,95.21
543.00,95.21
