tempo_s,bpm
0.00,80.57
1.00,80.57
2.00,80.57
3.00,80.57
4.00,161.13
5.00,161.13
6.00,80.57
7.00,80.57
8.00,168.46
9.00,168.46
10.00,161.13
11.00,168.46
12.00,168.46
13.00,87.89
14.00,175.78
15.00,175.78
16.00,175.78
17.00,175.78
18.00,175.78
19.00,175.78
20.00,168.46
21.00,168.46
22.00,168.46
23.00,175.78
24.00,183.11
25.00,183.11
26.00,183.11
27.00,183.11
28.00,183.11
29.00,175.78
30.00,183.11
31.00,183.11
32.00,87.89
33.00,87.89
34.00,175.78
35.00,175.78
36.00,183.11
37.00,183.11
38.00,183.11
39.00,87.89
40.00,87.89
41.00,87.89
42.00,87.89
43.00,87.89
44.00,183.11
45.00,183.11
46.00,183.11
47.00,175.78
48.00,183.11
49.00,190.43
50.00,190.43
51.00,190.43
52.00,190.43
53.00,87.89
54.00,87.89
55.00,87.89
56.00,175.78
57.00,175.78
58.00,175.78
59.00,87.89
60.00,87.89
61.00,87.89
62.00,183.11
63.00,183.11
64.00,183.11
65.00,183.11
66.00,183.11
67.00,183.11
68.00,183.11
69.00,183.11
70.00,183.11
71.00,183.11
72.00,183.11
73.00,183.11
74.00,190.43
75.00,190.43
76.00,190.43
77.00,95.21
78.00,168.46
79.00,168.46
80.00,87.89
81.00,87.89
82.00,87.89
83.00,87.89
84.00,87.89
85.00,175.78
86.00,87.89
87.00,87.89
88.00,87.89
89.00,87.89
90.00,87.89
91.00,87.89
92.00,175.78
93.00,183.11
94.00,95.21
95.00,190.43
96.00,190.43
97.00,190.43
98.00,87.89
99.00,87.89
100.00,87.89
101.00,95.21
102.00,95.21
103.00,190.43
104.00,190.43
105.00,190.43
106.00,183.11
107.00,80.57
108.00,80.57
109.00,80.57
110.00,80.57
111.00,87.89
112.00,87.89
113.00,183.11
114.00,183.11
115.00,175.78
116.00,175.78
117.00,175.78
118.00,175.78
119.00,175.78
120.00,175.78
121.00,175.78
122.00,175.78
123.00,87.89
124.00,87.89
125.00,87.89
126.00,87.89
127.00,87.89
128.00,95.21
129.00,95.21
130.00,95.21
131.00,190.43
132.00,190.43
133.00,95.21
134.00,95.21
135.00,95.21
136.00,183.11
137.00,183.11
138.00,183.11
139.00,183.11
140.00,95.21
141.00,95.21
142.00,183.11
143.00,87.89
144.00,87.89
145.00,87.89
146.00,87.89
147.00,95.21
148.00,197.75
149.00,197.75
150.00,197.75
151.00,183.11
152.00,183.11
153.00,175.78
154.00,183.11
155.00,183.11
156.00,190.43
157.00,190.43
158.00,190.43
159.00,183.11
160.00,183.11
161.00,87.89
162.00,87.89
163.00,161.13
164.00,161.13
165.00,161.13
166.00,80.57
167.00,168.46
168.00,87.89
169.00,183.11
170.00,95.21
171.00,95.21
172.00,183.11
173.00,183.11
