tempo_s,bpm
0.00,87.89
1.00,87.89
2.00,168.46
3.00,80.57
4.00,80.57
5.00,80.57
6.00,80.57
7.00,80.57
8.00,87.89
9.00,87.89
10.00,95.21
11.00,190.43
12.00,190.43
13.00,190.43
14.00,95.21
15.00,87.89
16.00,80.57
17.00,73.24
18.00,73.24
19.00,73.24
20.00,73.24
21.00,73.24
22.00,73.24
23.00,80.57
24.00,80.57
25.00,80.57
26.00,80.57
27.00,80.57
28.00,80.57
29.00,80.57
30.00,80.57
31.00,80.57
32.00,80.57
33.00,80.57
34.00,80.57
35.00,80.57
36.00,80.57
37.00,80.57
38.00,73.24
39.00,73.24
40.00,73.24
41.00,73.24
42.00,80.57
43.00,80.57
44.00,80.57
45.00,80.57
46.00,73.24
47.00,73.24
48.00,73.24
49.00,73.24
50.00,73.24
51.00,80.57
52.00,87.89
53.00,87.89
54.00,87.89
55.00,87.89
56.00,80.57
57.00,80.57
58.00,73.24
59.00,73.24
60.00,73.24
61.00,73.24
62.00,73.24
63.00,73.24
64.00,73.24
65.00,73.24
66.00,73.24
67.00,73.24
68.00,73.24
69.00,73.24
70.00,73.24
71.00,80.57
72.00,80.57
73.00,80.57
74.00,80.57
75.00,80.57
76.00,80.57
77.00,80.57
78.00,80.57
79.00,80.57
80.00,80.57
81.00,73.24
82.00,73.24
83.00,73.24
84.00,73.24
85.00,73.24
86.00,73.24
87.00,80.57
88.00,80.57
89.00,80.57
90.00,80.57
91.00,80.57
92.00,73.24
93.00,73.24
94.00,73.24
95.00,73.24
96.00,73.24
97.00,73.24
98.00,73.24
99.00,73.24
100.00,73.24
101.00,73.24
102.00,73.24
103.00,73.24
104.00,80.57
105.00,80.57
106.00,80.57
107.00,80.57
108.00,87.89
109.00,87.89
110.00,80.57
111.00,80.57
112.00,80.57
113.00,73.24
114.00,73.24
115.00,73.24
116.00,73.24
117.00,73.24
118.00,73.24
119.00,73.24
120.00,73.24
121.00,73.24
122.00,73.24
123.00,73.24
124.00,73.24
125.00,73.24
126.00,80.57
127.00,80.57
128.00,87.89
129.00,87.89
130.00,87.89
131.00,80.57
132.00,73.24
133.00,73.24
134.00,73.24
135.00,73.24
136.00,73.24
137.00,80.57
138.00,80.57
139.00,80.57
140.00,87.89
141.00,87.89
142.00,87.89
143.00,87.89
144.00,80.57
145.00,80.57
146.00,80.57
147.00,80.57
148.00,80.57
149.00,80.57
150.00,87.89
151.00,87.89
152.00,87.89
153.00,87.89
154.00,175.78
155.00,87.89
156.00,183.11
157.00,95.21
158.00,95.21
159.00,95.21
160.00,87.89
161.00,87.89
162.00,87.89
163.00,87.89
164.00,183.11
165.00,95.21
166.00,95.21
167.00,95.21
168.00,95.21
169.00,87.89
170.00,80.57
171.00,80.57
172.00,80.57
173.00,80.57
174.00,87.89
175.00,87.89
176.00,87.89
177.00,87.89
178.00,87.89
179.00,87.89
180.00,183.11
181.00,87.89
182.00,87.89
183.00,87.89
184.00,80.57
185.00,80.57
186.00,80.57
187.00,73.24
188.00,80.57
189.00,80.57
190.00,87.89
191.00,95.21
192.00,95.21
193.00,95.21
194.00,80.57
195.00,73.24
196.00,73.24
197.00,73.24
198.00,80.57
199.00,80.57
200.00,80.57
201.00,73.24
202.00,73.24
203.00,73.24
204.00,80.57
205.00,80.57
206.00,80.57
207.00,80.57
208.00,80.57
209.00,73.24
210.00,73.24
211.00,80.57
212.00,80.57
213.00,80.57
214.00,80.57
215.00,80.57
216.00,80.57
217.00,80.57
218.00,80.57
219.00,87.89
220.00,87.89
221.00,87.89
222.00,87.89
223.00,87.89
224.00,87.89
225.00,87.89
226.00,87.89
227.00,87.89
228.00,87.89
229.00,87.89
230.00,95.21
231.00,95.21
232.00,95.21
233.00,95.21
234.00,95.21
235.00,95.21
236.00,87.89
237.00,87.89
238.00,80.57
239.00,87.89
240.00,87.89
241.00,95.21
242.00,95.21
243.00,95.21
244.00,80.57
245.00,73.24
246.00,73.24
247.00,73.24
248.00,73.24
249.00,73.24
250.00,73.24
251.00,73.24
252.00,73.24
253.00,80.57
254.00,80.57
255.00,80.57
256.00,80.57
257.00,80.57
258.00,80.57
259.00,80.57
260.00,80.57
261.00,87.89
262.00,87.89
263.00,87.89
264.00,87.89
265.00,80.57
266.00,80.57
267.00,80.57
268.00,80.57
269.00,87.89
270.00,87.89
271.00,87.89
272.00,87.89
273.00,87.89
274.00,87.89
275.00,80.57
276.00,80.57
277.00,80.57
278.00,80.57
279.00,80.57
280.00,87.89
281.00,87.89
282.00,95.21
283.00,87.89
284.00,80.57
285.00,73.24
286.00,73.24
287.00,73.24
288.00,80.57
289.00,80.57
290.00,80.57
291.00,87.89
292.00,87.89
293.00,87.89
294.00,87.89
295.00,80.57
296.00,80.57
297.00,80.57
298.00,73.24
299.00,73.24
300.00,80.57
301.00,80.57
302.00,73.24
303.00,73.24
304.00,73.24
305.00,73.24
306.00,73.24
307.00,73.24
308.00,73.24
309.00,73.24
310.00,73.24
311.00,73.24
312.00,73.24
313.00,73.24
314.00,73.24
315.00,73.24
316.00,73.24
317.00,80.57
318.00,80.57
319.00,80.57
320.00,87.89
321.00,87.89
322.00,87.89
323.00,87.89
324.00,80.57
325.00,73.24
326.00,73.24
327.00,73.24
328.00,80.57
329.00,80.57
330.00,80.57
331.00,87.89
332.00,87.89
333.00,87.89
334.00,87.89
335.00,87.89
336.00,80.57
337.00,80.57
338.00,80.57
339.00,87.89
340.00,87.89
341.00,87.89
342.00,87.89
343.00,87.89
344.00,87.89
345.00,87.89
346.00,80.57
347.00,80.57
348.00,80.57
349.00,80.57
350.00,87.89
351.00,95.21
352.00,95.21
353.00,95.21
354.00,95.21
355.00,87.89
356.00,80.57
357.00,73.24
358.00,73.24
359.00,73.24
360.00,73.24
361.00,80.57
362.00,87.89
363.00,87.89
364.00,87.89
365.00,87.89
366.00,65.92
367.00,65.92
368.00,65.92
369.00,65.92
370.00,65.92
371.00,65.92
372.00,73.24
373.00,73.24
374.00,73.24
375.00,73.24
376.00,80.57
377.00,73.24
378.00,73.24
379.00,73.24
380.00,73.24
381.00,73.24
382.00,73.24
383.00,73.24
384.00,73.24
385.00,73.24
386.00,73.24
387.00,73.24
388.00,73.24
389.00,73.24
390.00,80.57
391.00,80.57
392.00,80.57
393.00,80.57
394.00,80.57
395.00,80.57
396.00,80.57
397.00,80.57
398.00,80.57
399.00,73.24
400.00,73.24
401.00,73.24
402.00,73.24
403.00,73.24
404.00,73.24
405.00,80.57
406.00,80.57
407.00,87.89
408.00,87.89
409.00,87.89
410.00,87.89
411.00,87.89
412.00,87.89
413.00,80.57
414.00,87.89
415.00,87.89
416.00,95.21
417.00,95.21
418.00,102.54
419.00,102.54
420.00,102.54
421.00,95.21
422.00,87.89
423.00,80.57
424.00,80.57
425.00,80.57
426.00,73.24
427.00,73.24
428.00,73.24
429.00,73.24
430.00,80.57
431.00,80.57
432.00,80.57
433.00,73.24
434.00,73.24
435.00,73.24
436.00,73.24
437.00,73.24
438.00,73.24
439.00,73.24
440.00,73.24
441.00,73.24
442.00,73.24
443.00,80.57
444.00,80.57
445.00,80.57
446.00,80.57
447.00,80.57
448.00,80.57
449.00,80.57
450.00,80.57
451.00,80.57
452.00,80.57
453.00,80.57
454.00,80.57
455.00,80.57
456.00,80.57
457.00,87.89
458.00,87.89
459.00,87.89
460.00,87.89
461.00,168.46
462.00,168.46
463.00,168.46
464.00,87.89
465.00,87.89
466.00,87.89
467.00,87.89
468.00,87.89
469.00,87.89
470.00,87.89
471.00,87.89
472.00,87.89
473.00,87.89
474.00,87.89
475.00,87.89
476.00,87.89
477.00,87.89
