tempo_s,bpm
0.00,161.13
1.00,161.13
2.00,161.13
3.00,161.13
4.00,161.13
5.00,161.13
6.00,161.13
7.00,161.13
8.00,168.46
9.00,168.46
10.00,161.13
11.00,161.13
12.00,161.13
13.00,161.13
14.00,161.13
15.00,175.78
16.00,183.11
17.00,183.11
18.00,183.11
19.00,183.11
20.00,183.11
21.00,183.11
22.00,183.11
23.00,183.11
24.00,183.11
25.00,183.11
26.00,183.11
27.00,175.78
28.00,175.78
29.00,175.78
30.00,175.78
31.00,175.78
32.00,175.78
33.00,175.78
34.00,183.11
35.00,183.11
36.00,175.78
37.00,175.78
38.00,234.38
39.00,234.38
40.00,234.38
41.00,168.46
42.00,175.78
43.00,183.11
44.00,183.11
45.00,183.11
46.00,175.78
47.00,175.78
48.00,168.46
49.00,175.78
50.00,175.78
51.00,175.78
52.00,183.11
53.00,183.11
54.00,183.11
55.00,183.11
56.00,183.11
57.00,183.11
58.00,175.78
59.00,175.78
60.00,168.46
61.00,168.46
62.00,168.46
63.00,168.46
64.00,168.46
65.00,168.46
66.00,168.46
67.00,168.46
68.00,168.46
69.00,168.46
70.00,168.46
71.00,168.46
72.00,168.46
73.00,168.46
74.00,168.46
75.00,168.46
76.00,168.46
77.00,168.46
78.00,168.46
79.00,161.13
80.00,161.13
81.00,168.46
82.00,168.46
83.00,168.46
84.00,168.46
85.00,168.46
86.00,168.46
87.00,168.46
88.00,168.46
89.00,168.46
90.00,168.46
91.00,168.46
92.00,168.46
93.00,168.46
94.00,175.78
95.00,175.78
96.00,175.78
97.00,175.78
98.00,175.78
99.00,168.46
100.00,168.46
101.00,168.46
102.00,168.46
103.00,168.46
104.00,168.46
105.00,168.46
106.00,168.46
107.00,168.46
108.00,168.46
109.00,161.13
110.00,161.13
111.00,161.13
112.00,161.13
113.00,161.13
114.00,80.57
115.00,168.46
116.00,168.46
117.00,168.46
118.00,175.78
119.00,175.78
120.00,183.11
121.00,190.43
122.00,190.43
123.00,190.43
124.00,190.43
125.00,190.43
126.00,183.11
127.00,183.11
128.00,183.11
129.00,183.11
130.00,183.11
131.00,183.11
132.00,183.11
133.00,183.11
134.00,183.11
135.00,183.11
136.00,183.11
137.00,183.11
138.00,183.11
139.00,183.11
140.00,183.11
141.00,175.78
142.00,175.78
143.00,175.78
144.00,175.78
145.00,175.78
146.00,175.78
147.00,175.78
148.00,168.46
149.00,168.46
150.00,168.46
151.00,175.78
152.00,175.78
153.00,175.78
154.00,175.78
155.00,175.78
156.00,175.78
157.00,168.46
158.00,168.46
159.00,80.57
160.00,168.46
161.00,168.46
162.00,168.46
163.00,168.46
164.00,175.78
165.00,175.78
166.00,168.46
167.00,168.46
168.00,168.46
169.00,168.46
170.00,168.46
171.00,168.46
172.00,168.46
173.00,168.46
174.00,175.78
175.00,175.78
176.00,175.78
177.00,168.46
178.00,168.46
179.00,168.46
180.00,161.13
181.00,161.13
182.00,161.13
183.00,168.46
184.00,168.46
185.00,175.78
186.00,175.78
187.00,175.78
188.00,175.78
189.00,175.78
190.00,175.78
191.00,168.46
192.00,80.57
193.00,80.57
194.00,80.57
195.00,168.46
196.00,168.46
197.00,175.78
198.00,175.78
199.00,175.78
200.00,168.46
201.00,80.57
202.00,161.13
203.00,161.13
204.00,161.13
205.00,161.13
206.00,161.13
207.00,161.13
208.00,234.38
209.00,234.38
210.00,234.38
211.00,234.38
212.00,161.13
213.00,161.13
214.00,161.13
215.00,168.46
216.00,168.46
217.00,168.46
218.00,175.78
219.00,175.78
220.00,175.78
221.00,175.78
222.00,168.46
223.00,168.46
224.00,168.46
225.00,168.46
226.00,168.46
227.00,175.78
228.00,175.78
229.00,175.78
230.00,175.78
231.00,168.46
232.00,168.46
233.00,168.46
234.00,168.46
235.00,168.46
236.00,168.46
237.00,175.78
238.00,175.78
239.00,175.78
240.00,175.78
241.00,175.78
242.00,175.78
243.00,175.78
244.00,168.46
245.00,168.46
246.00,168.46
247.00,168.46
248.00,168.46
249.00,161.13
250.00,161.13
251.00,168.46
252.00,168.46
253.00,168.46
254.00,175.78
255.00,175.78
256.00,175.78
257.00,175.78
258.00,168.46
259.00,168.46
260.00,168.46
261.00,168.46
262.00,168.46
263.00,168.46
264.00,168.46
265.00,168.46
266.00,175.78
267.00,175.78
268.00,175.78
269.00,175.78
270.00,175.78
271.00,175.78
272.00,175.78
273.00,175.78
274.00,175.78
275.00,175.78
276.00,175.78
277.00,175.78
278.00,175.78
279.00,87.89
280.00,87.89
281.00,87.89
282.00,168.46
283.00,168.46
284.00,168.46
285.00,80.57
286.00,80.57
287.00,80.57
288.00,80.57
289.00,80.57
290.00,80.57
291.00,80.57
292.00,168.46
293.00,168.46
294.00,168.46
295.00,168.46
296.00,175.78
297.00,175.78
298.00,175.78
299.00,175.78
300.00,183.11
301.00,183.11
302.00,183.11
303.00,183.11
304.00,175.78
305.00,175.78
306.00,183.11
307.00,183.11
308.00,183.11
309.00,183.11
310.00,183.11
311.00,190.43
312.00,190.43
313.00,190.43
314.00,183.11
315.00,87.89
316.00,168.46
317.00,168.46
318.00,168.46
319.00,175.78
320.00,175.78
321.00,183.11
322.00,183.11
323.00,183.11
324.00,234.38
325.00,234.38
326.00,227.05
327.00,227.05
328.00,227.05
329.00,80.57
330.00,161.13
331.00,168.46
332.00,168.46
333.00,175.78
334.00,175.78
335.00,175.78
336.00,175.78
337.00,175.78
338.00,175.78
339.00,183.11
340.00,183.11
341.00,183.11
342.00,183.11
343.00,175.78
344.00,168.46
345.00,168.46
346.00,168.46
347.00,168.46
348.00,168.46
349.00,168.46
350.00,175.78
351.00,175.78
352.00,175.78
353.00,175.78
354.00,168.46
355.00,168.46
356.00,168.46
357.00,168.46
358.00,175.78
359.00,175.78
360.00,175.78
361.00,175.78
362.00,175.78
363.00,183.11
364.00,175.78
365.00,175.78
366.00,175.78
367.00,175.78
368.00,175.78
369.00,168.46
370.00,168.46
371.00,80.57
372.00,161.13
373.00,161.13
374.00,161.13
375.00,161.13
376.00,168.46
377.00,168.46
378.00,168.46
379.00,168.46
380.00,168.46
381.00,168.46
382.00,168.46
383.00,168.46
384.00,168.46
385.00,175.78
386.00,175.78
387.00,183.11
388.00,190.43
389.00,190.43
390.00,190.43
391.00,190.43
392.00,183.11
393.00,183.11
394.00,175.78
395.00,175.78
396.00,183.11
397.00,183.11
398.00,183.11
399.00,175.78
400.00,87.89
401.00,80.57
402.00,80.57
403.00,234.38
404.00,80.57
405.00,80.57
406.00,168.46
407.00,168.46
408.00,168.46
409.00,168.46
410.00,168.46
411.00,168.46
412.00,80.57
413.00,161.13
414.00,234.38
415.00,234.38
416.00,234.38
417.00,168.46
418.00,175.78
419.00,175.78
420.00,175.78
421.00,175.78
422.00,175.78
423.00,168.46
424.00,80.57
425.00,80.57
426.00,234.38
427.00,227.05
428.00,219.73
429.00,219.73
430.00,80.57
431.00,168.46
432.00,168.46
433.00,168.46
434.00,175.78
435.00,175.78
436.00,168.46
437.00,80.57
438.00,161.13
439.00,80.57
440.00,168.46
441.00,168.46
442.00,168.46
443.00,168.46
444.00,80.57
445.00,80.57
446.00,234.38
447.00,234.38
448.00,234.38
449.00,234.38
450.00,80.57
451.00,80.57
452.00,168.46
453.00,168.46
454.00,168.46
455.00,168.46
456.00,161.13
457.00,161.13
458.00,80.57
459.00,80.57
460.00,168.46
461.00,168.46
462.00,168.46
463.00,168.46
464.00,168.46
465.00,175.78
466.00,175.78
467.00,175.78
468.00,183.11
469.00,175.78
470.00,87.89
471.00,168.46
472.00,168.46
473.00,168.46
474.00,175.78
475.00,175.78
476.00,175.78
477.00,175.78
478.00,168.46
479.00,168.46
480.00,168.46
481.00,161.13
482.00,161.13
483.00,161.13
484.00,161.13
485.00,80.57
