tempo_s,bpm_ecg
1.43,74.07
2.24,74.26
3.07,72.29
3.83,78.53
4.60,77.92
5.37,77.52
6.18,74.26
6.98,75.19
7.83,70.59
8.71,67.87
9.58,69.44
10.40,72.99
11.23,72.46
12.08,70.26
12.97,67.57
13.82,70.75
14.66,71.60
15.52,69.61
16.40,68.34
17.25,70.09
18.11,69.77
18.97,69.93
19.84,69.28
20.64,74.81
21.45,74.26
22.27,72.82
23.14,69.28
24.04,66.52
24.89,70.09
25.78,67.87
26.67,66.96
27.59,65.50
28.65,56.71
29.33,87.98
30.21,68.34
31.07,69.93
31.88,74.07
32.72,70.92
33.66,64.24
34.61,63.03
35.53,64.94
36.49,62.50
37.47,61.22
38.42,63.03
39.85,42.08
40.09,250.00
40.85,79.16
41.65,74.63
42.49,71.94
43.41,65.22
44.39,61.22
45.37,60.85
46.31,63.69
47.32,59.41
48.31,60.85
49.23,65.50
50.16,64.38
51.06,66.23
51.91,71.09
52.14,254.24
52.58,136.36
53.68,54.74
54.59,65.93
55.50,65.65
56.18,89.02
56.37,306.12
56.66,211.27
57.09,138.89
57.58,121.95
58.10,115.38
58.67,106.01
59.04,163.04
59.83,75.76
60.12,205.48
60.44,187.50
60.71,225.56
61.23,114.94
61.63,150.00
62.35,83.33
62.91,106.01
63.10,326.09
63.46,167.60
64.31,69.93
64.84,113.64
65.38,112.36
65.65,215.83
66.05,150.75
66.43,158.73
67.80,43.86
68.67,69.12
69.08,145.63
69.72,93.17
70.41,86.96
71.26,70.92
71.66,149.25
72.26,99.67
72.95,87.21
73.79,71.26
74.12,185.19
74.60,123.46
75.02,143.54
76.02,60.00
76.32,197.37
77.18,69.93
78.26,55.66
78.82,106.38
79.49,90.36
80.46,61.73
81.27,73.89
82.08,73.89
82.82,81.74
83.60,76.73
84.39,75.57
85.14,80.21
85.94,74.81
86.62,88.50
87.12,120.97
87.48,163.93
87.58,638.30
87.98,150.00
88.18,297.03
89.06,68.18
89.80,81.30
90.56,78.95
91.39,71.77
92.24,70.75
93.08,71.94
93.94,69.44
94.82,67.87
95.62,75.38
96.40,77.12
97.14,80.43
97.89,80.86
98.63,80.43
99.37,81.08
100.12,80.21
100.82,85.47
101.55,82.64
102.31,78.53
103.10,75.95
103.83,81.97
104.62,76.73
105.35,81.52
106.14,75.76
107.81,35.93
108.66,71.26
109.50,71.09
111.03,39.11
111.81,76.92
112.57,79.37
113.40,72.12
114.26,69.77
115.06,75.57
115.83,77.32
116.62,76.53
117.42,74.63
118.21,75.76
119.03,73.17
119.86,72.12
120.70,71.60
121.55,70.75
122.38,72.12
123.14,79.37
123.91,77.52
124.70,76.53
126.31,37.13
127.10,76.34
127.90,75.00
128.70,74.81
129.46,79.37
130.24,76.92
131.03,75.57
131.84,73.89
132.67,72.82
133.48,73.35
134.29,74.44
135.07,76.73
135.82,80.21
136.59,78.33
137.39,75.00
138.25,69.12
139.07,73.17
139.90,72.99
140.73,71.77
141.57,71.26
142.38,74.26
143.18,75.38
143.95,77.52
144.74,75.76
145.54,75.00
146.34,75.00
147.11,77.92
147.89,77.72
147.92,1666.67
148.70,77.32
149.54,71.43
150.35,73.53
151.17,73.71
