tempo_s,bpm_ecg
1.97,64.24
2.92,63.29
3.88,62.11
4.82,63.69
5.77,63.42
6.71,63.69
7.64,64.79
8.55,65.79
9.46,65.79
10.36,66.52
11.27,66.08
12.14,68.81
13.01,69.44
13.85,71.26
14.69,71.26
15.53,71.43
16.38,70.42
17.25,68.97
18.11,69.77
18.99,68.65
19.85,69.28
20.70,71.09
21.52,72.64
22.36,72.12
23.20,71.26
24.07,69.12
24.92,70.42
25.78,69.28
26.65,69.12
27.51,70.26
28.37,69.12
29.24,69.28
30.09,70.75
30.94,70.09
31.80,70.09
32.65,70.75
33.50,70.75
34.34,70.75
35.18,71.77
36.02,71.60
36.86,71.43
37.70,71.43
38.54,71.09
39.38,71.94
40.21,72.12
41.04,72.12
41.87,71.94
42.73,69.93
43.59,70.09
44.46,68.81
45.35,67.42
46.25,66.82
47.14,67.11
48.02,68.03
48.91,67.57
49.79,68.49
50.66,69.12
51.52,69.28
52.40,68.03
53.28,68.81
54.14,69.28
55.01,69.28
55.87,69.28
56.72,70.59
57.58,69.93
58.43,70.42
59.28,71.26
60.12,70.75
60.95,72.82
61.75,74.63
62.56,74.44
63.35,75.95
64.12,77.32
64.90,77.52
65.67,78.12
66.44,77.92
67.21,77.72
68.00,75.95
68.79,75.76
69.59,75.00
70.40,73.71
71.23,72.64
72.04,73.89
72.87,72.82
73.68,73.35
74.50,73.89
75.30,74.63
76.10,74.63
76.90,75.76
77.70,74.63
78.51,74.26
79.31,74.63
80.13,73.71
80.95,72.99
81.78,72.12
82.61,72.64
83.44,72.12
84.27,72.29
85.09,73.35
85.89,74.44
86.69,75.19
87.48,76.34
88.26,76.14
89.05,76.34
89.83,76.92
90.63,74.81
91.44,74.07
92.26,73.53
93.10,71.43
93.95,70.75
94.79,71.09
95.63,71.26
96.48,70.75
97.31,71.94
98.14,72.99
98.95,73.53
99.76,74.44
100.56,75.00
101.36,74.44
102.17,74.26
102.99,73.71
103.82,72.29
104.65,71.60
105.48,72.46
106.32,71.26
107.15,72.29
107.99,71.77
108.82,72.12
109.66,71.26
110.50,71.94
111.34,71.26
112.18,71.43
113.02,71.77
113.87,70.26
114.73,70.09
115.58,70.26
116.42,71.09
117.26,71.94
118.11,70.59
118.94,72.46
119.79,69.93
120.64,70.75
121.50,69.93
122.34,71.77
123.17,71.94
123.98,74.07
124.78,75.19
125.56,77.12
126.33,77.72
127.09,78.95
127.85,78.74
128.62,77.92
129.40,76.92
130.20,75.19
130.98,76.73
131.76,77.32
132.53,77.52
133.28,79.58
134.03,80.86
134.76,81.97
135.47,84.27
136.18,84.51
136.90,83.10
137.63,82.42
138.39,79.16
139.22,72.46
140.11,67.42
141.06,62.89
142.01,63.29
142.95,63.56
143.88,64.66
144.79,65.79
145.67,68.65
146.51,70.92
147.36,70.92
148.19,72.12
149.01,73.53
149.83,72.99
150.66,72.29
151.49,71.77
152.38,68.03
153.27,67.26
154.14,68.49
155.04,67.26
155.89,69.93
156.76,69.12
157.61,70.42
158.46,70.92
159.30,71.60
160.13,72.12
160.96,72.46
161.78,72.64
162.61,72.46
163.43,73.35
164.23,74.81
165.04,74.07
165.87,72.29
166.70,72.12
167.55,70.92
168.40,70.59
169.25,70.26
170.11,69.93
170.97,70.09
171.82,70.59
172.68,69.93
173.52,70.92
174.39,69.12
175.28,67.42
176.18,66.82
177.08,66.67
177.98,66.37
178.87,67.87
179.75,67.87
180.63,67.87
181.49,69.77
182.33,71.60
183.18,71.09
183.97,75.76
184.77,74.44
185.56,75.95
186.37,74.63
187.16,76.14
187.93,77.72
188.70,77.32
189.48,76.92
190.26,77.52
191.04,76.53
191.82,77.12
192.59,77.92
193.35,78.95
194.09,80.65
194.83,81.08
195.57,81.08
196.33,79.16
197.08,80.00
197.83,80.65
198.58,79.37
199.34,79.58
200.12,76.53
200.93,74.07
201.79,69.77
202.66,68.81
203.55,67.57
204.48,64.66
205.36,68.18
206.22,69.77
207.04,72.99
207.84,74.81
208.64,75.38
209.42,76.73
210.21,75.95
211.02,74.07
211.84,72.99
212.67,72.12
213.53,70.09
214.41,68.03
215.32,65.79
216.22,66.82
217.10,68.03
217.94,71.43
218.80,70.09
219.64,71.26
220.48,71.60
221.30,72.82
222.14,71.77
222.96,72.99
223.80,71.60
224.65,70.59
225.52,69.12
226.41,66.96
227.34,64.79
228.25,66.23
229.14,66.82
230.03,68.03
230.90,68.97
231.76,69.77
232.60,71.43
233.42,72.46
234.25,72.64
235.08,72.29
235.93,70.59
236.79,69.77
237.70,65.93
238.62,65.50
239.52,66.52
240.44,64.94
241.34,66.96
242.20,69.28
243.04,71.60
243.87,72.64
244.70,71.94
245.54,71.60
246.38,71.09
247.25,69.12
248.14,67.87
249.04,66.52
249.96,65.22
250.90,63.83
251.83,64.24
252.79,62.50
253.69,67.11
254.57,67.57
255.45,68.34
256.34,67.42
257.22,68.34
258.08,69.61
258.97,67.26
259.88,65.93
260.78,66.67
261.67,67.42
262.60,64.52
263.48,68.34
264.34,69.61
265.19,71.09
266.03,71.43
266.86,72.12
267.69,72.12
268.51,72.99
269.35,71.43
270.19,72.12
271.03,71.43
271.86,71.60
272.75,67.42
273.61,69.93
274.46,70.59
275.32,70.09
276.16,71.26
277.00,71.26
277.84,71.26
278.68,71.77
279.52,71.60
280.35,72.12
281.19,71.26
282.05,69.77
282.90,71.09
283.76,69.61
284.61,70.75
285.45,70.92
286.29,71.26
287.12,72.99
287.94,73.17
288.75,73.71
289.56,74.07
290.37,73.89
291.20,72.82
292.01,73.71
292.85,71.26
293.71,70.09
294.56,70.09
295.44,68.65
296.30,69.28
297.15,71.09
297.99,71.26
298.82,72.12
299.66,71.43
300.49,72.82
301.29,74.44
302.11,73.17
302.91,75.00
303.69,77.12
304.48,76.34
305.26,76.34
306.05,76.14
306.84,75.57
307.64,75.57
308.43,75.57
309.24,74.26
310.06,73.35
310.88,73.17
311.70,72.82
312.54,71.77
313.36,72.64
314.19,72.64
315.02,72.64
315.82,74.63
316.64,73.53
317.44,74.44
318.27,72.64
319.09,73.17
319.93,71.26
320.78,70.92
321.61,71.77
322.44,72.46
323.30,69.77
324.18,68.18
325.07,67.11
325.94,69.61
326.80,69.12
327.65,71.09
328.49,70.92
329.33,72.12
330.17,71.09
330.99,72.82
331.83,71.43
332.67,71.60
333.51,71.43
334.36,70.42
335.21,70.92
336.05,71.60
336.91,69.93
337.77,69.61
338.61,71.09
339.44,72.12
340.27,72.46
341.09,72.99
341.90,74.26
342.70,75.19
343.48,76.73
344.28,75.57
345.07,75.38
345.87,75.00
346.68,74.44
347.51,71.77
348.34,72.82
349.17,72.12
349.98,73.89
350.79,73.89
351.61,73.53
352.41,74.63
353.22,74.26
354.02,75.00
354.83,74.26
355.65,73.53
356.47,73.17
357.30,72.29
358.14,70.92
358.98,71.60
359.83,70.59
360.67,71.43
361.50,71.94
362.34,71.77
363.17,72.29
363.99,73.17
364.81,73.17
365.61,75.00
366.44,71.94
367.27,72.99
368.10,71.77
368.93,72.12
369.77,71.60
370.61,71.60
371.44,72.12
372.27,72.46
373.09,72.99
373.92,72.64
374.74,72.99
375.56,73.53
376.37,73.53
377.19,73.53
378.00,74.07
378.82,73.17
379.64,73.17
380.47,72.29
381.30,72.29
382.12,73.35
382.96,70.92
383.81,71.09
384.65,71.09
385.51,69.61
386.38,68.81
387.24,70.26
388.09,70.59
388.94,70.42
389.76,72.82
390.59,72.46
391.41,72.99
392.22,74.07
393.03,74.44
393.84,74.26
394.65,74.26
395.47,73.17
396.31,71.43
397.13,72.82
397.97,71.26
398.81,71.60
399.65,71.09
400.49,71.94
401.33,70.92
402.16,72.99
402.98,72.46
403.80,73.35
404.62,73.71
405.45,72.29
406.30,69.93
407.14,71.43
408.00,70.26
408.86,69.61
409.71,70.26
410.56,70.75
411.40,71.43
412.22,73.17
413.05,72.29
413.88,72.46
414.70,73.35
415.52,72.64
416.34,73.35
417.17,72.46
417.99,73.17
418.81,73.35
419.62,74.26
420.43,73.53
421.25,72.99
422.09,71.94
422.92,71.77
423.76,72.12
424.59,71.77
425.42,72.64
426.24,73.17
427.06,72.64
427.89,72.46
428.72,72.64
429.53,74.07
430.36,72.29
431.19,71.77
432.04,71.09
432.90,69.77
433.76,69.93
434.62,69.12
435.49,69.61
436.33,70.75
437.16,72.46
437.99,72.46
