tempo_s,bpm_ecg
1.07,90.36
1.76,86.46
2.47,84.75
3.15,88.24
3.77,97.09
4.40,94.94
5.05,93.17
5.71,90.09
6.34,95.85
6.99,91.46
7.72,82.19
8.45,83.10
9.11,90.36
9.80,87.46
10.52,82.64
11.26,80.86
11.95,86.96
12.63,89.29
13.29,89.82
13.94,93.46
14.55,97.40
15.19,94.64
15.85,90.36
16.48,95.54
17.15,88.76
17.86,84.75
18.56,85.71
19.21,92.02
19.87,90.91
20.52,92.88
21.15,95.24
21.75,99.67
22.38,94.94
23.05,90.09
23.76,84.03
24.46,86.46
25.13,88.76
25.88,80.65
26.62,80.65
27.30,88.24
27.99,87.21
28.68,86.71
29.33,92.88
29.98,92.31
30.64,90.63
31.31,90.09
31.97,90.91
32.65,88.24
33.35,84.99
34.10,80.65
34.83,81.97
35.55,83.33
36.25,85.23
36.93,89.02
37.61,88.24
38.30,86.46
38.98,88.76
39.65,89.55
40.35,84.99
41.09,81.30
41.77,88.24
42.45,88.24
43.12,90.09
43.79,89.02
44.49,85.23
45.20,85.47
45.89,85.96
46.59,86.46
47.24,91.74
47.85,98.68
48.45,99.34
49.06,98.68
49.70,94.34
50.36,90.36
50.98,96.46
51.66,88.24
52.38,84.03
53.06,87.72
53.79,81.97
54.53,81.52
55.21,87.72
55.89,88.76
56.58,87.46
57.25,88.76
57.89,94.64
58.50,97.09
59.13,96.46
59.78,92.31
60.39,98.36
61.01,95.54
61.68,89.82
62.35,90.09
62.96,97.40
63.61,92.59
64.27,91.46
64.92,91.46
65.55,95.24
66.22,90.36
66.89,88.76
67.56,90.09
68.20,93.75
68.81,98.36
69.43,96.15
70.09,91.74
70.71,96.46
71.35,93.75
72.01,90.36
72.71,86.46
73.36,92.31
74.00,94.04
74.69,86.71
75.39,85.71
76.07,88.50
76.72,91.46
77.40,88.76
78.07,89.02
78.74,90.09
79.39,92.31
80.07,87.46
80.79,84.27
81.46,88.50
82.13,89.82
82.84,85.23
83.56,83.33
84.23,89.02
84.92,86.96
85.63,84.27
86.29,91.46
86.93,93.46
87.56,95.24
88.21,91.74
88.86,92.88
89.50,94.34
90.12,95.54
90.71,102.04
91.29,103.09
91.91,96.77
92.56,93.46
93.20,93.75
93.93,82.19
94.63,85.47
95.32,86.21
96.05,82.87
96.76,84.51
97.41,92.02
98.03,96.15
98.66,95.54
99.29,95.54
99.89,99.67
100.48,102.04
101.08,100.00
101.70,96.77
102.33,95.85
102.99,90.91
103.69,84.99
104.33,94.34
104.99,90.91
105.69,85.96
106.36,89.02
107.01,92.59
107.70,86.96
108.34,94.04
108.98,93.46
109.64,90.09
110.31,89.55
110.96,93.46
111.60,92.59
112.23,95.24
112.84,99.01
113.45,98.68
114.08,95.54
114.71,94.64
115.32,98.68
115.95,94.64
116.63,89.02
117.30,88.76
117.94,94.04
118.62,87.98
119.28,90.63
119.89,98.36
120.50,99.01
121.08,103.09
121.67,102.39
122.27,100.00
122.87,100.33
123.44,104.53
124.04,100.00
124.63,101.69
125.23,100.33
125.88,92.02
126.59,84.51
127.25,90.36
127.90,92.59
128.62,83.57
129.35,82.64
130.07,82.42
130.74,90.36
131.37,94.64
132.06,87.72
132.76,85.23
133.45,86.46
134.16,85.47
134.83,88.50
135.49,90.91
136.18,87.98
136.87,85.96
137.58,84.75
138.23,92.02
138.88,93.46
139.53,92.02
140.17,94.04
140.79,95.54
141.46,90.36
142.13,89.29
142.81,87.98
143.48,89.55
144.11,95.85
144.75,92.88
