tempo_s,bpm
0.00,138.39
1.00,102.86
2.00,164.84
3.00,155.23
4.00,155.23
5.00,147.06
6.00,151.52
7.00,164.51
8.00,171.43
9.00,174.47
10.00,178.17
11.00,178.17
12.00,183.49
13.00,173.41
14.00,184.05
15.00,173.41
16.00,178.73
17.00,136.36
18.00,196.11
19.00,172.15
20.00,150.75
21.00,157.34
22.00,163.93
23.00,163.93
24.00,163.93
25.00,163.93
26.00,163.93
27.00,161.75
28.00,122.77
29.00,85.96
30.00,85.96
31.00,197.37
32.00,179.77
33.00,148.51
34.00,160.45
35.00,164.84
36.00,163.94
37.00,171.70
38.00,178.57
39.00,178.57
40.00,171.70
41.00,178.57
42.00,180.72
43.00,180.72
44.00,90.91
45.00,184.63
46.00,188.71
47.00,158.73
48.00,170.45
49.00,187.00
50.00,187.00
51.00,191.08
52.00,193.58
53.00,191.08
54.00,189.50
55.00,189.50
56.00,186.34
57.00,191.21
58.00,186.34
59.00,175.26
60.00,182.93
61.00,136.02
62.00,186.34
63.00,168.54
64.00,123.94
65.00,165.35
66.00,168.54
67.00,171.99
68.00,168.54
69.00,168.54
70.00,171.99
71.00,175.44
72.00,178.63
73.00,177.51
74.00,181.82
75.00,180.73
76.00,178.58
77.00,178.58
78.00,173.03
79.00,173.03
80.00,177.51
81.00,174.09
82.00,163.22
83.00,157.07
84.00,146.34
85.00,151.30
86.00,146.34
87.00,157.89
88.00,146.34
89.00,164.25
90.00,173.95
91.00,172.41
92.00,176.47
93.00,174.44
94.00,172.41
95.00,176.99
96.00,177.51
97.00,181.35
98.00,178.58
99.00,177.51
100.00,171.43
101.00,165.29
102.00,154.64
103.00,154.64
104.00,130.07
105.00,154.64
106.00,165.75
107.00,170.45
108.00,169.50
109.00,169.50
110.00,175.44
111.00,174.09
112.00,168.54
113.00,168.54
114.00,168.54
115.00,166.24
116.00,167.13
117.00,168.07
118.00,165.30
119.00,166.67
120.00,167.13
121.00,172.91
122.00,177.01
123.00,177.51
124.00,178.57
125.00,177.51
126.00,178.57
127.00,179.11
128.00,181.28
129.00,182.93
130.00,182.93
131.00,184.06
132.00,184.06
133.00,185.19
134.00,184.06
135.00,182.93
136.00,177.67
137.00,178.80
138.00,180.18
139.00,179.64
140.00,180.72
141.00,180.18
142.00,179.64
143.00,182.95
144.00,180.72
145.00,180.18
146.00,167.64
147.00,164.38
148.00,162.63
149.00,174.42
150.00,174.42
151.00,174.42
152.00,165.74
153.00,165.75
154.00,185.19
155.00,174.42
156.00,165.75
157.00,164.84
158.00,165.29
159.00,165.75
160.00,167.64
161.00,161.29
162.00,164.44
163.00,170.45
164.00,170.94
165.00,172.92
166.00,171.43
167.00,171.43
168.00,174.93
169.00,174.42
170.00,174.93
171.00,175.44
172.00,196.20
173.00,179.64
174.00,175.44
175.00,180.73
176.00,180.73
177.00,181.82
178.00,181.82
179.00,181.82
180.00,172.41
181.00,181.82
182.00,175.49
183.00,172.41
184.00,178.57
185.00,172.41
186.00,170.45
187.00,172.95
188.00,169.69
189.00,169.69
190.00,181.82
191.00,163.05
192.00,158.00
193.00,153.85
194.00,185.19
195.00,184.62
196.00,173.55
